Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cereal production (metric tons),AG.PRD.CREL.MT,Guam,GUM,21,27,46,50,50,51,56,58,55,56,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guatemala,GTM,1435248,1160727,1754491,1804110,1876104,1900910,1938867,1986485,2037704,2004065,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guinea,GIN,1061616,1800810,3004174,3240342,3431379,3375489,3516856,3615987,3735324,3911040,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guinea-Bissau,GNB,167269,177884,218431,248614,264522,166648,209728,226804,229085,214463,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Guyana,GUY,158740,452569,623518,653320,827930,639238,691784,538450,634104,968756,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Haiti,HTI,360900,430500,615155,441594,613318,586897,524534,523386,484000,513000,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Honduras,HND,682954,606578,635620,621783,690211,670111,721572,701829,756854,790693,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Hong Kong SAR, China",HKG,2,0,0,0,0,0,0,0,0,0,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Hungary,HUN,12561481,10036050,13678147,10372740,13609910,16613380,14145172,16643885,14017280,14892663,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Iceland,ISL,..,5345,5247,5418,5517,5275,4637,7389,7400,3900,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,India,IND,193919312,234931192,287860000,293290000,294909510,296010000,284333000,297850000,313640000,318320000,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Indonesia,IDN,51912780,61575000,83400154,88443150,89791565,89854891,95010276,102933180,110072609,113290938,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Iran, Islamic Rep.",IRN,13683863,12877642,15018276,15777122,16427671,17551045,18255577,22426060,20339248,20646288,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Iraq,IRQ,3454800,904480,4270151,4790950,6498524,7048606,3471196,4021404,3734770,4290645,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Ireland,IRL,1965820,2177491,2512187,2127500,2403000,2599817,2635749,2312985,2394207,1855755,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Israel,ISR,396564,182870,273520,356388,336558,372420,321736,305210,220355,209321,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Italy,ITA,17410540,20660952,19521138,18594126,18214664,19396844,17694873,18219221,16251718,16346847,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Jamaica,JAM,2381,1781,2968,3121,2996,2512,2365,2354,2540,2177,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Japan,JPN,14449107,12796067,11450492,11729481,11786625,11602968,11202389,11045620,10906573,10696746,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Jordan,JOR,129010,57133,83062,84041,102175,90747,95320,107867,101560,91196,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kazakhstan,KAZ,..,11539396,26825598,12788631,18157040,17110959,18585932,20410625,20129018,20196034,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kenya,KEN,2788475,2591351,4058581,4711585,4536942,4227172,4523102,3893190,4265162,4832214,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Korea, Dem. People's Rep.",PRK,6280305,2942000,4694508,5195204,5199406,5222275,5488519,4974090,4842539,4211839,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Korea, Rep.",KOR,8434015,7435175,5825776,5604304,5810451,5852534,5976346,5831148,5486957,5428929,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kuwait,KWT,1830,7996,35457,26862,33254,53636,9312,5257,6103,11216,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Kyrgyz Republic,KGZ,..,1550090,1504683,1357041,1728265,1355798,1753400,1763629,1720954,1783480,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Lao PDR,LAO,1558061,2318700,4161995,4614695,4628645,5414865,5618250,5701160,5232304,4566380,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Latvia,LVA,..,923624,1412000,2124500,1948700,2227200,3021500,2703200,2692500,2057200,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Lebanon,LBN,77358,122800,158638,188629,178659,176626,175300,181172,163621,170738,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Lesotho,LSO,242119,149723,103973,101482,107674,108484,82945,25806,216143,124917,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Liberia,LBR,180000,183400,290117,291000,270000,237000,286000,335180,247495,257995,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Libya,LBY,272536,221780,275210,307527,305900,304294,299697,268282,252817,242231,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Lithuania,LTU,..,2667602,3225900,4656600,4474800,5123200,6066749,5120821,5074188,3999500,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Luxembourg,LUX,..,152830,149591,153433,173287,168563,176516,139262,149291,154236,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Madagascar,MDG,2581217,2660170,4739752,5009947,3997774,4350378,4057994,4138479,3888307,4252655,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Malawi,MWI,1413293,2631034,3924971,3832659,3892310,4246674,3001731,2531749,3711454,2925168,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Malaysia,MYS,1919984,2205800,2635830,2682983,2690153,1894019,2803864,2804473,2974455,2795349,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Maldives,MDV,7,99,172,185,195,194,195,203,208,203,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Mali,MLI,1771419,2310196,5777865,6555027,6993980,6980878,8055038,8849696,8887176,10159685,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Malta,MLT,8901,11714,14597,14272,13974,13707,12180,12758,14587,14394,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
